編號,國文,英文,數學,自然,社會
1,83,89,78,75,95
2,72,60,66,72,55
3,90,59,90,50,67
4,100,90,84,98,74
5,67,60,59,96,66
6,54,73,69,66,99
7,63,87,88,59,57
8,54,79,58,74,58
9,78,54,72,90,60
10,98,80,89,78,85
11,83,84,89,89,81
12,96,58,100,62,94
13,65,75,58,75,65
14,53,60,79,87,64
15,94,62,58,80,54
16,79,93,65,85,50
17,57,99,57,66,53
18,75,70,96,52,82
19,79,77,75,55,86
20,97,96,77,66,99
21,68,97,73,52,98
22,86,60,87,98,79
23,95,95,92,78,95
24,94,77,76,64,83
25,71,73,56,65,57
26,72,99,99,91,70
27,56,67,68,65,91
28,82,84,60,82,82
29,76,79,81,76,59
30,82,70,69,66,68
31,56,83,75,92,93
32,87,58,51,63,76
33,96,98,90,77,64
34,63,71,55,68,92
35,80,93,88,72,77
36,86,69,65,50,50
37,97,59,54,93,74
38,52,90,98,97,92
39,99,90,55,59,99
40,60,79,60,53,64
41,94,54,81,54,65
42,76,72,62,55,63
43,79,81,88,67,78
44,68,52,77,83,56
45,55,64,99,84,84
46,71,55,76,84,82
47,74,88,65,59,86
48,77,68,71,56,50
49,66,68,86,70,50
50,77,80,88,72,52
